"Day","Month","Year","RentedBikeCount","Temperature","Humidity","WindSpeed","Visibility","DewPointTemp","SolarRadiation","Rainfall","Snowfall","Seasons","Holiday","Functioning.Day","Time"
23,12,2017,188,5.1,83,0.9,297,2.4,0,0,0,"Winter","No Holiday","Yes","Morning"
24,12,2017,4,4.6,91,1.7,95,3.2,0,0,0,"Winter","Holiday","Yes","Morning"
25,12,2017,94,-4.9,44,3,2000,-15.3,0,0,0,"Winter","Holiday","Yes","Morning"
26,12,2017,578,-2.7,68,2.2,1919,-7.7,0,0,0,"Winter","No Holiday","Yes","Morning"
27,12,2017,502,-10.2,35,1.8,2000,-22.7,0,0,0,"Winter","No Holiday","Yes","Morning"
28,12,2017,554,-4.7,30,0.6,2000,-19.6,0,0,0,"Winter","No Holiday","Yes","Morning"
29,12,2017,636,1,68,0.6,624,-4.2,0,0,0,"Winter","No Holiday","Yes","Morning"
30,12,2017,162,-0.4,78,0.5,249,-3.7,0,0,0,"Winter","No Holiday","Yes","Morning"
31,12,2017,84,-2.1,86,1.4,354,-4.1,0,0,1.2,"Winter","Holiday","Yes","Morning"
1,1,2018,89,-5,55,1,2000,-12.6,0,0,0,"Winter","Holiday","Yes","Morning"
2,1,2018,655,-3.4,71,0.8,1179,-7.9,0,0,0,"Winter","No Holiday","Yes","Morning"
3,1,2018,670,-7,49,1.5,1971,-15.9,0,0,0,"Winter","No Holiday","Yes","Morning"
4,1,2018,646,-8.6,55,0.6,1984,-16,0,0,0,"Winter","No Holiday","Yes","Morning"
5,1,2018,665,-5.3,51,1,1319,-13.8,0,0,0,"Winter","No Holiday","Yes","Morning"
6,1,2018,186,-6.5,62,1.1,1503,-12.5,0,0,0,"Winter","No Holiday","Yes","Morning"
7,1,2018,122,-5.3,53,1.1,1411,-13.4,0,0,0,"Winter","No Holiday","Yes","Morning"
8,1,2018,701,0.7,45,0.7,1339,-9.9,0,0,0,"Winter","No Holiday","Yes","Morning"
9,1,2018,554,-6,64,3.2,1384,-11.7,0,0,0.7,"Winter","No Holiday","Yes","Morning"
10,1,2018,387,-7.9,67,2.6,1896,-12.9,0,0,0.7,"Winter","No Holiday","Yes","Morning"
11,1,2018,443,-12.6,61,1.6,1610,-18.5,0,0,0,"Winter","No Holiday","Yes","Morning"
12,1,2018,419,-15.1,44,1.2,2000,-24.6,0,0,0,"Winter","No Holiday","Yes","Morning"
13,1,2018,67,-6.5,72,0.8,670,-10.7,0,0,0.2,"Winter","No Holiday","Yes","Morning"
14,1,2018,81,-3.8,79,0.8,412,-6.9,0,0,0,"Winter","No Holiday","Yes","Morning"
15,1,2018,444,4.1,85,1.1,470,1.7,0,0,0,"Winter","No Holiday","Yes","Morning"
16,1,2018,650,1.2,68,0.6,411,-4,0,0,0,"Winter","No Holiday","Yes","Morning"
17,1,2018,537,2.6,70,0.6,296,-2.3,0,0,0,"Winter","No Holiday","Yes","Morning"
18,1,2018,537,1.1,86,1.2,197,-0.9,0,0,0,"Winter","No Holiday","Yes","Morning"
19,1,2018,648,-2.5,50,1,1281,-11.5,0,0,0,"Winter","No Holiday","Yes","Morning"
20,1,2018,191,0.3,63,0.4,1140,-5.9,0,0,0,"Winter","No Holiday","Yes","Morning"
21,1,2018,115,-3.6,53,0.5,1227,-11.8,0,0,0,"Winter","No Holiday","Yes","Morning"
22,1,2018,683,-0.7,32,0.5,1991,-15.3,0,0,0,"Winter","No Holiday","Yes","Morning"
23,1,2018,423,-13,41,4,2000,-23.5,0,0,1,"Winter","No Holiday","Yes","Morning"
24,1,2018,364,-16.2,30,1.6,2000,-29.8,0,0,0.9,"Winter","No Holiday","Yes","Morning"
25,1,2018,349,-16.4,32,3.3,2000,-29.2,0.01,0,0.6,"Winter","No Holiday","Yes","Morning"
26,1,2018,322,-17.8,40,2.5,2000,-28.1,0,0,0.5,"Winter","No Holiday","Yes","Morning"
27,1,2018,84,-15.9,58,0.9,1369,-22.2,0,0,0.3,"Winter","No Holiday","Yes","Morning"
28,1,2018,72,-8.1,43,1.7,1943,-18.5,0,0,0,"Winter","No Holiday","Yes","Morning"
29,1,2018,450,-11.5,38,1,1998,-23,0.01,0,0,"Winter","No Holiday","Yes","Morning"
30,1,2018,491,-11.1,61,0.7,1963,-17.1,0.01,0,0,"Winter","No Holiday","Yes","Morning"
31,1,2018,273,-3.6,83,1.7,915,-6,0,0,3.5,"Winter","No Holiday","Yes","Morning"
1,2,2018,459,-8.6,59,1,1948,-15.1,0.01,0,1.6,"Winter","No Holiday","Yes","Morning"
2,2,2018,558,-7.4,58,2.2,1882,-14.2,0.01,0,0,"Winter","No Holiday","Yes","Morning"
3,2,2018,116,-9.5,56,3.5,1979,-16.6,0.01,0,0.3,"Winter","No Holiday","Yes","Morning"
4,2,2018,70,-12.8,56,2.4,1507,-19.7,0.02,0,0,"Winter","No Holiday","Yes","Morning"
5,2,2018,433,-11.5,40,2.8,2000,-22.4,0.02,0,0,"Winter","No Holiday","Yes","Morning"
6,2,2018,438,-12.7,41,3.1,2000,-23.2,0.02,0,0,"Winter","No Holiday","Yes","Morning"
7,2,2018,469,-13.3,60,0.6,1598,-19.4,0.02,0,0,"Winter","No Holiday","Yes","Morning"
8,2,2018,507,-9.7,65,0.8,1508,-15,0.02,0,0,"Winter","No Holiday","Yes","Morning"
9,2,2018,589,-3.3,39,0.9,1279,-15.3,0.02,0,0,"Winter","No Holiday","Yes","Morning"
10,2,2018,188,1.6,82,1.3,349,-1.1,0.01,0,0,"Winter","No Holiday","Yes","Morning"
11,2,2018,81,-9.4,29,1.9,1967,-24.1,0.03,0,0,"Winter","No Holiday","Yes","Morning"
12,2,2018,517,-9.1,33,2.1,1998,-22.4,0.03,0,0,"Winter","No Holiday","Yes","Morning"
13,2,2018,568,-7.1,68,0.6,1931,-12,0.03,0,0,"Winter","No Holiday","Yes","Morning"
14,2,2018,606,2.1,65,1.1,1559,-3.8,0.01,0,0,"Winter","No Holiday","Yes","Morning"
15,2,2018,112,-3,38,1,2000,-15.4,0,0,0,"Winter","Holiday","Yes","Morning"
16,2,2018,68,-5.4,38,0.7,2000,-17.5,0.04,0,0,"Winter","Holiday","Yes","Morning"
17,2,2018,80,-7.1,30,1.7,1991,-21.7,0.04,0,0,"Winter","Holiday","Yes","Morning"
18,2,2018,92,-4.8,31,0.8,2000,-19.3,0.02,0,0,"Winter","No Holiday","Yes","Morning"
19,2,2018,646,-1.2,51,0.8,1800,-10,0.05,0,0,"Winter","No Holiday","Yes","Morning"
20,2,2018,727,-2.1,71,1.7,610,-6.6,0.06,0,0,"Winter","No Holiday","Yes","Morning"
21,2,2018,718,-4.3,36,1.9,1955,-17.1,0.06,0,0,"Winter","No Holiday","Yes","Morning"
22,2,2018,783,-3.6,63,0.9,1473,-9.6,0.07,0,0,"Winter","No Holiday","Yes","Morning"
23,2,2018,391,-0.2,97,0.4,197,-0.6,0.05,0,3.7,"Winter","No Holiday","Yes","Morning"
24,2,2018,203,0,77,2.8,289,-3.5,0.06,0,0,"Winter","No Holiday","Yes","Morning"
25,2,2018,158,-1.3,54,0.6,1597,-9.4,0.06,0,0,"Winter","No Holiday","Yes","Morning"
26,2,2018,786,-2.9,63,0.7,1386,-8.9,0.11,0,0,"Winter","No Holiday","Yes","Morning"
27,2,2018,767,2,51,0.7,990,-7,0,0,0,"Winter","No Holiday","Yes","Morning"
28,2,2018,816,5.7,57,2.5,458,-2.1,0.04,0,0,"Winter","No Holiday","Yes","Morning"
1,3,2018,148,1.5,80,3.2,1246,-1.5,0.04,0,0,"Spring","Holiday","Yes","Morning"
2,3,2018,617,-6.2,45,0.4,1600,-16.2,0.17,0,0,"Spring","No Holiday","Yes","Morning"
3,3,2018,306,0.4,38,1.8,1564,-12.3,0.16,0,0,"Spring","No Holiday","Yes","Morning"
4,3,2018,70,8.3,97,0.6,152,7.8,0.01,0,0,"Spring","No Holiday","Yes","Morning"
5,3,2018,184,3.6,88,2.3,2000,1.7,0.03,0,0,"Spring","No Holiday","Yes","Morning"
6,3,2018,997,-0.7,76,1,1461,-4.4,0.2,0,0,"Spring","No Holiday","Yes","Morning"
7,3,2018,1032,2.6,63,1.6,1857,-3.7,0.14,0,0,"Spring","No Holiday","Yes","Morning"
8,3,2018,88,3,94,0.3,444,2.1,0.01,0,0,"Spring","No Holiday","Yes","Morning"
9,3,2018,1041,1.8,67,0.7,1917,-3.6,0.19,0,0,"Spring","No Holiday","Yes","Morning"
10,3,2018,340,1.5,73,1.2,466,-2.8,0.11,0,0,"Spring","No Holiday","Yes","Morning"
11,3,2018,212,2.8,82,1.2,240,0,0.19,0,0,"Spring","No Holiday","Yes","Morning"
12,3,2018,1066,3.8,47,0.8,1229,-6.5,0.06,0,0,"Spring","No Holiday","Yes","Morning"
13,3,2018,1215,8,48,0.4,711,-2.3,0.12,0,0,"Spring","No Holiday","Yes","Morning"
14,3,2018,1371,14.2,67,0.9,1812,8.1,0.06,0,0,"Spring","No Holiday","Yes","Morning"
15,3,2018,39,14.1,97,1.1,342,13.6,0,0,0,"Spring","No Holiday","Yes","Morning"
16,3,2018,1176,3.8,56,2.4,2000,-4.1,0.32,0,0,"Spring","No Holiday","Yes","Morning"
17,3,2018,384,1.3,57,1,1974,-6.2,0.32,0,0,"Spring","No Holiday","Yes","Morning"
18,3,2018,293,5.9,58,1.8,861,-1.7,0.11,0,0,"Spring","No Holiday","Yes","Morning"
19,3,2018,592,7.3,84,2.2,813,4.7,0.05,0,0,"Spring","No Holiday","Yes","Morning"
20,3,2018,1212,4.3,43,4.2,2000,-7.2,0.37,0,0,"Spring","No Holiday","Yes","Morning"
21,3,2018,1097,1.6,42,1.8,2000,-9.9,0.13,0,0,"Spring","No Holiday","Yes","Morning"
22,3,2018,1174,1.1,79,1.7,1480,-2.1,0.36,0,0,"Spring","No Holiday","Yes","Morning"
23,3,2018,1216,2.6,77,1.3,567,-1,0.21,0,0,"Spring","No Holiday","Yes","Morning"
24,3,2018,424,4.5,49,0.4,580,-5.3,0.19,0,0,"Spring","No Holiday","Yes","Morning"
25,3,2018,225,5,79,1.1,203,1.6,0.23,0,0,"Spring","No Holiday","Yes","Morning"
26,3,2018,983,6.4,90,1.4,117,4.8,0.13,0,0,"Spring","No Holiday","Yes","Morning"
27,3,2018,1201,9.3,62,0.6,519,2.3,0.25,0,0,"Spring","No Holiday","Yes","Morning"
28,3,2018,1353,10.3,77,0.7,341,6.4,0.37,0,0,"Spring","No Holiday","Yes","Morning"
29,3,2018,1281,13.3,80,1.2,369,9.9,0.14,0,0,"Spring","No Holiday","Yes","Morning"
30,3,2018,1406,11.5,60,1.6,550,3.9,0.42,0,0,"Spring","No Holiday","Yes","Morning"
31,3,2018,489,10.4,65,0.8,979,4,0.41,0,0,"Spring","No Holiday","Yes","Morning"
1,4,2018,342,12.9,64,1.5,778,6.2,0.06,0,0,"Spring","No Holiday","Yes","Morning"
2,4,2018,1469,15.7,75,1.1,804,11.2,0.11,0,0,"Spring","No Holiday","Yes","Morning"
3,4,2018,1677,17.3,71,0.5,1481,11.9,0.17,0,0,"Spring","No Holiday","Yes","Morning"
4,4,2018,1284,10.3,86,2.5,2000,8,0.15,0,0,"Spring","No Holiday","Yes","Morning"
5,4,2018,207,6.7,94,2.7,1127,5.7,0.05,2,0,"Spring","No Holiday","Yes","Morning"
6,4,2018,1235,5.9,90,2.8,1820,4.3,0.32,0,0,"Spring","No Holiday","Yes","Morning"
7,4,2018,399,2.4,44,4.3,1375,-8.6,0.41,0,0,"Spring","No Holiday","Yes","Morning"
8,4,2018,332,2.9,53,1.5,1892,-5.7,0.68,0,0,"Spring","No Holiday","Yes","Morning"
9,4,2018,1163,1,97,0.9,148,0.5,0.22,0,0,"Spring","No Holiday","Yes","Morning"
10,4,2018,1702,9.6,38,1.4,1527,-4,0.58,0,0,"Spring","No Holiday","Yes","Morning"
11,4,2018,0,9.7,77,1.6,519,5.8,0.68,0,0,"Spring","No Holiday","No","Morning"
12,4,2018,1789,8.9,48,1.1,1444,-1.5,0.69,0,0,"Spring","No Holiday","Yes","Morning"
13,4,2018,1721,10.6,27,1.1,2000,-7.6,0.39,0,0,"Spring","No Holiday","Yes","Morning"
14,4,2018,17,7.7,88,1.4,516,5.8,0.08,1,0,"Spring","No Holiday","Yes","Morning"
15,4,2018,401,7,78,0.9,656,3.4,0.56,0,0,"Spring","No Holiday","Yes","Morning"
16,4,2018,1713,6.9,54,0.7,1706,-1.7,0.85,0,0,"Spring","No Holiday","Yes","Morning"
17,4,2018,1920,8.7,49,0.8,1520,-1.4,0.68,0,0,"Spring","No Holiday","Yes","Morning"
18,4,2018,1815,8.3,36,0.6,1335,-5.9,0.82,0,0,"Spring","No Holiday","Yes","Morning"
19,4,2018,20,9.6,39,0.8,1003,-3.7,0.79,0,0,"Spring","No Holiday","Yes","Morning"
20,4,2018,1659,13,54,1.2,738,3.8,0.68,0,0,"Spring","No Holiday","Yes","Morning"
21,4,2018,600,14.6,54,0.9,431,5.3,0.89,0,0,"Spring","No Holiday","Yes","Morning"
22,4,2018,429,16.3,40,0.8,1982,2.6,0.25,0,0,"Spring","No Holiday","Yes","Morning"
23,4,2018,25,8.8,95,2.8,519,8,0.03,5,0,"Spring","No Holiday","Yes","Morning"
24,4,2018,1502,10.5,79,1.3,2000,7,0.29,0,0,"Spring","No Holiday","Yes","Morning"
25,4,2018,1900,8.8,37,0.9,1939,-5.1,0.89,0,0,"Spring","No Holiday","Yes","Morning"
26,4,2018,1933,11.7,62,0.6,956,4.6,0.62,0,0,"Spring","No Holiday","Yes","Morning"
27,4,2018,1922,11.6,58,1.4,1150,3.6,0.79,0,0,"Spring","No Holiday","Yes","Morning"
28,4,2018,647,12.7,67,0.6,378,6.7,0.86,0,0,"Spring","No Holiday","Yes","Morning"
29,4,2018,485,12.2,50,0.8,1412,2,0.84,0,0,"Spring","No Holiday","Yes","Morning"
30,4,2018,1791,15.8,73,0.5,357,10.9,0.39,0,0,"Spring","No Holiday","Yes","Morning"
1,5,2018,1067,18.8,76,0.6,301,14.4,0.36,0,0,"Spring","Holiday","Yes","Morning"
2,5,2018,555,17.5,94,0.9,203,16.5,0.06,0,0,"Spring","No Holiday","Yes","Morning"
3,5,2018,1946,10.5,67,2.3,1221,4.6,0.98,0,0,"Spring","No Holiday","Yes","Morning"
4,5,2018,2041,11.3,46,1.2,1788,0,1.04,0,0,"Spring","No Holiday","Yes","Morning"
5,5,2018,579,14.4,51,2.3,1907,4.3,0.92,0,0,"Spring","No Holiday","Yes","Morning"
6,5,2018,16,15.2,97,1,414,14.7,0.08,2,0,"Spring","No Holiday","Yes","Morning"
7,5,2018,600,14.8,80,0.3,1921,11.3,0.31,0,0,"Spring","No Holiday","Yes","Morning"
8,5,2018,1976,16.9,54,1.7,2000,7.5,1.08,0,0,"Spring","No Holiday","Yes","Morning"
9,5,2018,2068,12.3,53,1.6,2000,2.9,1.09,0,0,"Spring","No Holiday","Yes","Morning"
10,5,2018,0,13.5,63,2.2,1211,6.5,1.01,0,0,"Spring","No Holiday","No","Morning"
11,5,2018,1881,13.1,78,1.2,330,9.3,0.41,0,0,"Spring","No Holiday","Yes","Morning"
12,5,2018,20,12,87,1,296,9.8,0.1,1,0,"Spring","No Holiday","Yes","Morning"
13,5,2018,397,14.1,98,1.3,834,13.7,0.26,0,0,"Spring","No Holiday","Yes","Morning"
14,5,2018,1997,13.8,79,0.9,313,10.2,0.44,0,0,"Spring","No Holiday","Yes","Morning"
15,5,2018,2059,18.4,68,1.1,254,12.3,0.88,0,0,"Spring","No Holiday","Yes","Morning"
16,5,2018,291,22.4,93,1.2,683,21.2,0.04,0,0,"Spring","No Holiday","Yes","Morning"
17,5,2018,152,19.7,98,0.5,1958,19.3,0.12,13.5,0,"Spring","No Holiday","Yes","Morning"
18,5,2018,400,16.4,98,0.3,514,16,0.11,0,0,"Spring","No Holiday","Yes","Morning"
19,5,2018,766,13.7,57,1.4,2000,5.3,1.28,0,0,"Spring","No Holiday","Yes","Morning"
20,5,2018,524,14.1,38,1,2000,0,0.72,0,0,"Spring","No Holiday","Yes","Morning"
21,5,2018,1785,15.3,30,1.3,2000,-2.2,1.3,0,0,"Spring","No Holiday","Yes","Morning"
22,5,2018,694,18.2,63,0.8,1731,11,1,0,0,"Spring","Holiday","Yes","Morning"
23,5,2018,2035,14.6,70,3.1,2000,9.1,1.28,0,0,"Spring","No Holiday","Yes","Morning"
24,5,2018,2081,15.2,50,1.6,1530,4.8,1.1,0,0,"Spring","No Holiday","Yes","Morning"
25,5,2018,1996,17.1,57,1.7,792,8.5,1.21,0,0,"Spring","No Holiday","Yes","Morning"
26,5,2018,763,17.8,52,0.6,1094,7.8,1.18,0,0,"Spring","No Holiday","Yes","Morning"
27,5,2018,608,18.3,51,2,1366,7.9,0.7,0,0,"Spring","No Holiday","Yes","Morning"
28,5,2018,2194,19.5,50,0.7,1329,8.7,1.19,0,0,"Spring","No Holiday","Yes","Morning"
29,5,2018,2234,20.5,66,1.7,1062,13.9,0.34,0,0,"Spring","No Holiday","Yes","Morning"
30,5,2018,1937,19.3,83,0.6,394,16.3,0.23,0,0,"Spring","No Holiday","Yes","Morning"
31,5,2018,2281,16.9,65,1.6,896,10.2,1.21,0,0,"Spring","No Holiday","Yes","Morning"
1,6,2018,2149,20.6,55,0.7,1200,11.2,1.21,0,0,"Summer","No Holiday","Yes","Morning"
2,6,2018,898,20.4,54,1,828,10.7,1.23,0,0,"Summer","No Holiday","Yes","Morning"
3,6,2018,659,20.3,47,1.5,1785,8.6,1.05,0,0,"Summer","No Holiday","Yes","Morning"
4,6,2018,2287,22.1,44,1.4,1435,9.2,1.16,0,0,"Summer","No Holiday","Yes","Morning"
5,6,2018,2322,21.5,58,1.1,1021,12.8,1.21,0,0,"Summer","No Holiday","Yes","Morning"
6,6,2018,799,21.2,59,1.2,794,12.8,1.13,0,0,"Summer","Holiday","Yes","Morning"
7,6,2018,2317,18.9,82,2.3,326,15.7,0.44,0,0,"Summer","No Holiday","Yes","Morning"
8,6,2018,2348,19.7,69,2,1448,13.8,0.54,0,0,"Summer","No Holiday","Yes","Morning"
9,6,2018,963,21.9,62,0.9,1071,14.2,1.03,0,0,"Summer","No Holiday","Yes","Morning"
10,6,2018,619,19,65,2,2000,12.2,0.28,0,0,"Summer","No Holiday","Yes","Morning"
11,6,2018,2375,20.7,55,1.5,2000,11.3,1.23,0,0,"Summer","No Holiday","Yes","Morning"
12,6,2018,2495,19,67,1.1,1976,12.7,1.29,0,0,"Summer","No Holiday","Yes","Morning"
13,6,2018,959,20.7,65,1.5,1004,13.8,0.97,0,0,"Summer","No Holiday","Yes","Morning"
14,6,2018,187,18.9,97,1.2,492,18.4,0.06,11.5,0,"Summer","No Holiday","Yes","Morning"
15,6,2018,2328,18.7,71,1.1,1992,13.3,0.61,0,0,"Summer","No Holiday","Yes","Morning"
16,6,2018,892,18.7,57,1,1956,9.9,1.05,0,0,"Summer","No Holiday","Yes","Morning"
17,6,2018,715,21.1,70,0.3,766,15.4,0.9,0,0,"Summer","No Holiday","Yes","Morning"
18,6,2018,2357,22.7,65,0.7,759,15.7,1.05,0,0,"Summer","No Holiday","Yes","Morning"
19,6,2018,2430,21.1,66,1,797,14.4,0.62,0,0,"Summer","No Holiday","Yes","Morning"
20,6,2018,2440,20.6,77,1.2,566,16.4,0.53,0,0,"Summer","No Holiday","Yes","Morning"
21,6,2018,2370,21.4,65,1.9,821,14.5,1.15,0,0,"Summer","No Holiday","Yes","Morning"
22,6,2018,2283,21.9,58,1.2,771,13.2,1.29,0,0,"Summer","No Holiday","Yes","Morning"
23,6,2018,934,22.6,42,0.7,1887,9,0.62,0,0,"Summer","No Holiday","Yes","Morning"
24,6,2018,561,21.3,78,0.7,351,17.3,0.51,0,0,"Summer","No Holiday","Yes","Morning"
25,6,2018,2331,23.8,66,0.9,960,17,0.74,0,0,"Summer","No Holiday","Yes","Morning"
26,6,2018,53,20.8,94,1,159,19.7,0.05,3.5,0,"Summer","No Holiday","Yes","Morning"
27,6,2018,1995,19.7,97,1.5,200,19.2,0.25,0,0,"Summer","No Holiday","Yes","Morning"
28,6,2018,2288,24.2,73,1,1581,19,0.96,0,0,"Summer","No Holiday","Yes","Morning"
29,6,2018,2028,22.2,95,1.6,389,21.3,0.26,0,0,"Summer","No Holiday","Yes","Morning"
30,6,2018,825,23.4,81,0.5,313,19.9,0.37,0,0,"Summer","No Holiday","Yes","Morning"
1,7,2018,20,22.1,93,0.5,805,20.9,0.14,1,0,"Summer","No Holiday","Yes","Morning"
2,7,2018,104,20.8,96,0.4,1627,20.1,0.11,1.5,0,"Summer","No Holiday","Yes","Morning"
3,7,2018,2135,24.3,83,0.5,1986,21.2,0.53,0,0,"Summer","No Holiday","Yes","Morning"
4,7,2018,2215,26.4,64,0.5,1909,19,1.33,0,0,"Summer","No Holiday","Yes","Morning"
5,7,2018,1836,23.6,93,0.9,308,22.3,0.21,0,0,"Summer","No Holiday","Yes","Morning"
6,7,2018,2273,23.2,60,1.7,2000,14.9,0.58,0,0,"Summer","No Holiday","Yes","Morning"
7,7,2018,832,21.2,52,1.6,1998,10.9,1.2,0,0,"Summer","No Holiday","Yes","Morning"
8,7,2018,684,19.1,53,1.7,1952,9.2,0.8,0,0,"Summer","No Holiday","Yes","Morning"
9,7,2018,670,20.7,73,0.8,2000,15.6,0.3,0.2,0,"Summer","No Holiday","Yes","Morning"
10,7,2018,2017,21.7,89,0.5,2000,19.8,0.31,0,0,"Summer","No Holiday","Yes","Morning"
11,7,2018,827,25.1,97,0.8,490,24.5,0.26,0,0,"Summer","No Holiday","Yes","Morning"
12,7,2018,1811,26.3,84,2.1,973,23.3,0.48,0,0,"Summer","No Holiday","Yes","Morning"
13,7,2018,2114,25.5,80,1.8,1402,21.7,0.37,0,0,"Summer","No Holiday","Yes","Morning"
14,7,2018,787,26.1,74,0.7,1254,21,0.87,0,0,"Summer","No Holiday","Yes","Morning"
15,7,2018,613,26.2,75,0.9,1560,21.4,0.77,0,0,"Summer","No Holiday","Yes","Morning"
16,7,2018,1935,26.4,69,0.5,1559,20.2,1.09,0,0,"Summer","No Holiday","Yes","Morning"
17,7,2018,1955,25.8,69,0.8,969,19.6,1.06,0,0,"Summer","No Holiday","Yes","Morning"
18,7,2018,1944,25.8,71,0.4,760,20.1,0.93,0,0,"Summer","No Holiday","Yes","Morning"
19,7,2018,1993,25.5,65,0.9,833,18.4,1.1,0,0,"Summer","No Holiday","Yes","Morning"
20,7,2018,1896,26.6,70,1.3,1062,20.6,1.01,0,0,"Summer","No Holiday","Yes","Morning"
21,7,2018,720,27.4,63,0.9,1043,19.7,1.03,0,0,"Summer","No Holiday","Yes","Morning"
22,7,2018,477,27.9,60,0.6,1835,19.4,1.06,0,0,"Summer","No Holiday","Yes","Morning"
23,7,2018,1889,30,56,0.9,2000,20.2,0.54,0,0,"Summer","No Holiday","Yes","Morning"
24,7,2018,1820,29.9,59,0.8,1727,21,1.03,0,0,"Summer","No Holiday","Yes","Morning"
25,7,2018,1893,28.7,70,3.5,1470,22.6,0.52,0,0,"Summer","No Holiday","Yes","Morning"
26,7,2018,1823,28.3,72,0.8,1165,22.7,0.34,0,0,"Summer","No Holiday","Yes","Morning"
27,7,2018,1763,28.5,76,0.9,725,23.8,0.59,0,0,"Summer","No Holiday","Yes","Morning"
28,7,2018,606,29.6,75,0.4,749,24.6,0.66,0,0,"Summer","No Holiday","Yes","Morning"
29,7,2018,456,28.6,63,0.8,1867,20.8,1,0,0,"Summer","No Holiday","Yes","Morning"
30,7,2018,1646,28.8,56,1.4,2000,19.1,1.08,0,0,"Summer","No Holiday","Yes","Morning"
31,7,2018,1665,29.3,51,0.9,2000,18.1,1.02,0,0,"Summer","No Holiday","Yes","Morning"
1,8,2018,1550,30.3,59,0.8,1920,21.3,1.02,0,0,"Summer","No Holiday","Yes","Morning"
2,8,2018,1579,31.6,50,1.1,1943,19.9,0.76,0,0,"Summer","No Holiday","Yes","Morning"
3,8,2018,1471,31.8,55,1.3,1537,21.6,0.78,0,0,"Summer","No Holiday","Yes","Morning"
4,8,2018,568,30.2,61,1.8,1562,21.8,0.65,0,0,"Summer","No Holiday","Yes","Morning"
5,8,2018,309,27.5,95,0.7,404,26.6,0.14,1.6,0,"Summer","No Holiday","Yes","Morning"
6,8,2018,797,28.7,86,1.4,532,26.1,0.32,0.5,0,"Summer","No Holiday","Yes","Morning"
7,8,2018,1695,28.5,64,2,2000,21,0.89,0,0,"Summer","No Holiday","Yes","Morning"
8,8,2018,1693,28.6,80,1.6,708,24.8,0.49,0,0,"Summer","No Holiday","Yes","Morning"
9,8,2018,1731,28.6,75,1.2,1588,23.7,0.56,0,0,"Summer","No Holiday","Yes","Morning"
10,8,2018,1728,27.2,69,1.8,1999,21,0.7,0,0,"Summer","No Holiday","Yes","Morning"
11,8,2018,647,28,60,1,2000,19.5,0.91,0,0,"Summer","No Holiday","Yes","Morning"
12,8,2018,520,28.6,54,1.1,2000,18.3,0.82,0,0,"Summer","No Holiday","Yes","Morning"
13,8,2018,1657,28,78,1.1,865,23.7,0.74,0,0,"Summer","No Holiday","Yes","Morning"
