"Day","Month","Year","RentedBikeCount","Temperature","Humidity","WindSpeed","Visibility","DewPointTemp","SolarRadiation","Rainfall","Snowfall","Seasons","Holiday","BikeCountPlus1","BikeCountPlus2"
14,1,2018,366,5.3,49,1.8,982,-4.5,0.43,0,0,"Winter","No Holiday",302,250
15,1,2018,365,7.5,37,0.9,813,-6.2,0.48,0,0,"Winter","No Holiday",455,555
16,1,2018,277,5.8,50,0.9,547,-3.8,0.11,0,0,"Winter","No Holiday",381,592
17,1,2018,314,8.3,54,1.2,330,-0.4,0.44,0,0,"Winter","No Holiday",380,501
18,1,2018,328,3.6,42,2.4,883,-8.1,0.29,0,0,"Winter","No Holiday",416,506
19,1,2018,390,4.9,27,2.8,1648,-12.5,0.65,0,0,"Winter","No Holiday",468,702
20,1,2018,352,6.6,42,3,355,-5.4,0.48,0,0,"Winter","No Holiday",377,283
21,1,2018,396,4.7,17,2.1,2000,-18.3,0.55,0,0,"Winter","No Holiday",383,295
22,1,2018,18,2,87,1.9,140,0,0.03,0,0,"Winter","No Holiday",43,170
23,1,2018,181,-10.1,34,4.3,2000,-23,0.74,0,1,"Winter","No Holiday",239,351
24,1,2018,124,-11.2,30,4.7,2000,-25.3,0.77,0,0.7,"Winter","No Holiday",203,297
25,1,2018,152,-9.6,31,2.6,1973,-23.6,0.66,0,0.5,"Winter","No Holiday",170,288
26,1,2018,147,-10.8,28,2.7,1778,-25.8,0.77,0,0.4,"Winter","No Holiday",196,305
27,1,2018,195,-3.7,25,2.6,1839,-20.9,0.74,0,0,"Winter","No Holiday",207,162
28,1,2018,187,-2.1,27,4,2000,-18.6,0.52,0,0,"Winter","No Holiday",178,157
29,1,2018,195,-5.5,28,4.3,1926,-21.1,0.78,0,0,"Winter","No Holiday",239,438
30,1,2018,94,-2.2,76,1.7,233,-5.8,0.25,0,0,"Winter","No Holiday",53,100
31,1,2018,216,-0.1,29,1.6,2000,-16,0.5,0,1.8,"Winter","No Holiday",279,403
1,2,2018,268,1.1,26,2.1,1957,-16.3,0.82,0,0,"Winter","No Holiday",341,542
2,2,2018,330,2.9,26,3,1968,-14.7,0.69,0,0,"Winter","No Holiday",382,592
3,2,2018,205,-4.2,31,3.5,1974,-18.8,1.42,0,0,"Winter","No Holiday",211,175
4,2,2018,181,-5.4,29,3.6,1979,-20.6,1.4,0,0,"Winter","No Holiday",184,154
5,2,2018,199,-5.4,25,3.4,1985,-22.3,1.44,0,0,"Winter","No Holiday",225,388
6,2,2018,175,-5.9,24,3.5,2000,-23.2,1.44,0,0,"Winter","No Holiday",227,392
7,2,2018,240,-1.7,18,2,1919,-22.9,1.41,0,0,"Winter","No Holiday",320,448
8,2,2018,284,2,25,2.3,1755,-16,1.3,0,0,"Winter","No Holiday",337,564
9,2,2018,319,6,28,1.7,1183,-11.1,1.03,0,0,"Winter","No Holiday",422,659
10,2,2018,291,0.3,17,4.9,2000,-21.9,0.87,0,0,"Winter","No Holiday",277,216
11,2,2018,175,-3.6,36,4.4,2000,-16.5,0.67,0,0,"Winter","No Holiday",198,150
12,2,2018,239,-2.4,33,4.5,1815,-16.5,1.55,0,0,"Winter","No Holiday",288,475
13,2,2018,328,3.9,41,4,1973,-8.1,1.24,0,0,"Winter","No Holiday",410,604
14,2,2018,447,8,36,3.5,1013,-6.1,1.09,0,0,"Winter","No Holiday",484,559
15,2,2018,273,3.2,16,3,2000,-20.2,1.45,0,0,"Winter","Holiday",236,190
16,2,2018,189,3.3,38,3.8,1921,-9.6,1.33,0,0,"Winter","Holiday",210,165
17,2,2018,267,1.3,15,4.2,2000,-22.5,1.63,0,0,"Winter","Holiday",250,223
18,2,2018,404,5.1,16,1.8,1998,-18.7,1.17,0,0,"Winter","No Holiday",354,310
19,2,2018,403,6.3,35,2.9,1117,-8,1.1,0,0,"Winter","No Holiday",522,819
20,2,2018,393,5.1,17,3.4,2000,-18,1.2,0,0,"Winter","No Holiday",514,764
21,2,2018,409,3.7,14,3.9,2000,-21.4,1.71,0,0,"Winter","No Holiday",469,784
22,2,2018,404,5,50,4.3,1121,-4.5,0.74,0,0,"Winter","No Holiday",465,730
23,2,2018,354,8.3,60,2.7,354,0.9,0.36,0,0,"Winter","No Holiday",470,669
24,2,2018,509,5.9,21,3,1864,-14.8,1.34,0,0,"Winter","No Holiday",462,379
25,2,2018,688,7.6,18,3.2,1930,-15.2,1.73,0,0,"Winter","No Holiday",589,402
26,2,2018,555,9.5,31,3.1,973,-6.8,1.54,0,0,"Winter","No Holiday",646,929
27,2,2018,411,6.9,54,1.1,692,-1.7,0.32,0,0,"Winter","No Holiday",529,897
28,2,2018,9,4.2,89,2.5,479,2.5,0.07,0,0,"Winter","No Holiday",8,11
1,3,2018,460,1.4,33,4.8,1480,-13.1,1.98,0,0,"Spring","Holiday",423,317
2,3,2018,574,5.2,21,2.1,1721,-15.4,1.97,0,0,"Spring","No Holiday",631,854
3,3,2018,1285,15.8,15,2.6,1867,-10.8,1.7,0,0,"Spring","No Holiday",1197,920
4,3,2018,396,11.7,82,1.1,753,8.7,0.32,0,0,"Spring","No Holiday",492,436
5,3,2018,718,11,39,1.2,2000,-2.4,1.96,0,0,"Spring","No Holiday",865,1155
6,3,2018,680,10.6,26,1.9,1955,-8.1,1.75,0,0,"Spring","No Holiday",883,1246
7,3,2018,646,10.4,36,3.2,1963,-4,1.02,0,0,"Spring","No Holiday",849,1365
8,3,2018,594,9.5,56,3.1,994,1.1,1.1,0,0,"Spring","No Holiday",757,1091
9,3,2018,686,9.6,38,1.7,1052,-4,1.71,0,0,"Spring","No Holiday",834,1231
10,3,2018,972,8.3,37,3.8,1867,-5.5,1.73,0,0,"Spring","No Holiday",829,664
11,3,2018,1205,11.9,25,2.7,1424,-7.5,1.83,0,0,"Spring","No Holiday",1028,776
12,3,2018,752,14.5,34,3.1,471,-1.2,1.59,0,0,"Spring","No Holiday",931,1425
13,3,2018,890,17.6,53,3.7,1735,7.8,1.4,0,0,"Spring","No Holiday",1085,1749
14,3,2018,1049,21.7,41,3.2,2000,7.8,1.91,0,0,"Spring","No Holiday",1325,2100
15,3,2018,214,10.7,98,1.2,196,10.3,0.14,0,0,"Spring","No Holiday",411,676
16,3,2018,976,11.6,31,1.4,1999,-4.9,2.11,0,0,"Spring","No Holiday",1160,1641
17,3,2018,1440,13.7,28,2.1,1499,-4.5,1.88,0,0,"Spring","No Holiday",1272,934
18,3,2018,1059,12.3,30,1.6,1263,-4.8,0.94,0,0,"Spring","No Holiday",603,365
19,3,2018,271,8.9,63,3,1614,2.2,0.28,0,0,"Spring","No Holiday",605,1200
20,3,2018,518,5.6,42,4.2,2000,-6.3,0.81,0,0,"Spring","No Holiday",719,1111
21,3,2018,241,2.4,79,1.9,1995,-0.8,0.37,0,0,"Spring","No Holiday",319,615
22,3,2018,752,10.3,34,3.8,1850,-4.9,1.93,0,0,"Spring","No Holiday",999,1495
23,3,2018,901,12.2,24,2.8,1655,-7.8,1.98,0,0,"Spring","No Holiday",1108,1611
24,3,2018,947,12.3,61,3.4,359,4.9,1.82,0,0,"Spring","No Holiday",916,736
25,3,2018,1031,16.5,39,3.1,366,2.4,1.91,0,0,"Spring","No Holiday",911,768
26,3,2018,819,17.7,33,3.4,897,1.2,1.96,0,0,"Spring","No Holiday",925,1477
27,3,2018,774,19.5,50,3.4,613,8.7,1.6,0,0,"Spring","No Holiday",960,1521
28,3,2018,943,18.3,43,4.3,1931,5.4,1.3,0,0,"Spring","No Holiday",1221,1839
29,3,2018,957,20.7,38,2.2,741,5.8,1.63,0,0,"Spring","No Holiday",1194,1776
30,3,2018,1156,20.7,36,3.6,811,5,1.82,0,0,"Spring","No Holiday",1460,1935
31,3,2018,1578,18,32,3,1836,1,1.03,0,0,"Spring","No Holiday",1531,1391
1,4,2018,1409,18.2,69,3.2,625,12.4,0.87,0,0,"Spring","No Holiday",1362,1296
2,4,2018,1218,23,47,4.1,1417,11,2,0,0,"Spring","No Holiday",1569,2401
3,4,2018,1173,19.7,58,3.7,1302,11.1,0.78,0,0,"Spring","No Holiday",1436,2134
4,4,2018,1413,17.9,42,1.1,2000,4.7,2.25,0,0,"Spring","No Holiday",1745,2402
5,4,2018,31,8.1,96,1.5,281,7.4,0.21,1,0,"Spring","No Holiday",46,75
6,4,2018,585,6.6,50,4,645,-3.1,0.81,0,0,"Spring","No Holiday",776,1114
7,4,2018,897,7.9,34,4.7,1979,-7,1.09,0,0,"Spring","No Holiday",908,714
8,4,2018,137,6.1,65,1.5,1465,0,0.21,0,0,"Spring","No Holiday",58,22
9,4,2018,1185,15.3,24,1.5,1534,-5.1,2,0,0,"Spring","No Holiday",1479,2401
10,4,2018,1080,20.9,34,5.8,2000,4.4,1.37,0,0,"Spring","No Holiday",1004,1805
12,4,2018,1273,18.8,23,4.2,1956,-2.7,2.39,0,0,"Spring","No Holiday",1664,2359
13,4,2018,1270,18.3,16,1,2000,-7.9,0.7,0,0,"Spring","No Holiday",1662,2404
14,4,2018,445,8.9,87,1.8,2000,6.8,0.32,0,0,"Spring","No Holiday",675,706
15,4,2018,124,12,61,3.6,1374,4.6,0.57,0,0,"Spring","No Holiday",42,343
16,4,2018,1452,18.5,24,3,1773,-2.4,2.27,0,0,"Spring","No Holiday",1753,2692
17,4,2018,1312,19.5,28,3,1605,0.4,2.24,0,0,"Spring","No Holiday",1632,1727
18,4,2018,1346,18.5,22,2.7,1515,-3.6,2.27,0,0,"Spring","No Holiday",1738,1918
19,4,2018,1198,19.8,25,4.4,1132,-0.8,2.02,0,0,"Spring","No Holiday",1534,2198
20,4,2018,1206,25.7,30,3.4,600,6.8,2.07,0,0,"Spring","No Holiday",1543,2268
21,4,2018,1942,24.8,13,3.3,1955,-5.5,2.5,0,0,"Spring","No Holiday",2032,1986
22,4,2018,103,19.1,52,0.9,1583,9,0.37,0,0,"Spring","No Holiday",46,63
23,4,2018,41,9.6,96,1.7,1409,8.9,0.23,1,0,"Spring","No Holiday",42,39
24,4,2018,1118,15.5,52,1.7,2000,5.6,0.7,0,0,"Spring","No Holiday",1462,2318
25,4,2018,1447,23.1,19,3.1,1871,-1.8,2.26,0,0,"Spring","No Holiday",1878,2807
26,4,2018,1386,21.7,23,2.5,1404,-0.3,1.97,0,0,"Spring","No Holiday",1796,2574
27,4,2018,1446,23.2,33,2.4,869,6,2.12,0,0,"Spring","No Holiday",1877,2577
28,4,2018,1945,20.4,25,4.7,1990,-0.3,2.45,0,0,"Spring","No Holiday",2043,1882
29,4,2018,2044,22.2,23,3.7,1183,0,2.28,0,0,"Spring","No Holiday",2094,1950
30,4,2018,1344,24.8,45,1.8,549,12,2.05,0,0,"Spring","No Holiday",1706,2558
1,5,2018,1759,22.6,63,3.1,551,15.1,0.88,0,0,"Spring","Holiday",1898,2082
2,5,2018,400,15.4,95,4.7,378,14.5,0.11,0.5,0,"Spring","No Holiday",813,518
3,5,2018,911,12.8,53,3.3,2000,3.4,0.76,0,0,"Spring","No Holiday",1421,2310
4,5,2018,1501,18.6,30,5.1,1891,0.6,2.49,0,0,"Spring","No Holiday",1857,2661
5,5,2018,1223,23.2,30,4.5,1787,4.6,1.49,0,0,"Spring","No Holiday",2014,1929
6,5,2018,1482,19.5,66,1.7,2000,12.9,1.71,0,0,"Spring","No Holiday",1737,1848
7,5,2018,2213,24.5,38,2.2,1903,9.2,1.1,0,0,"Spring","No Holiday",2392,2268
8,5,2018,1457,22,41,1.7,2000,8.1,2.04,0,0,"Spring","No Holiday",2020,2142
9,5,2018,1603,21.4,35,2.7,1838,5.2,2.38,0,0,"Spring","No Holiday",2034,3130
11,5,2018,1496,19.1,54,3.2,542,9.5,0.94,0,0,"Spring","No Holiday",1863,2701
12,5,2018,34,13.8,97,0.7,196,13.3,0.12,1.5,0,"Spring","No Holiday",24,22
13,5,2018,2379,19.5,65,2.9,857,12.7,1.97,0,0,"Spring","No Holiday",2410,2338
14,5,2018,1433,24.3,54,2.6,346,14.3,1.81,0,0,"Spring","No Holiday",1891,2906
15,5,2018,1458,28.8,37,2.4,1629,12.6,1.44,0,0,"Spring","No Holiday",1951,2915
16,5,2018,223,21.8,97,1.8,206,21.2,0.18,0,0,"Spring","No Holiday",304,562
17,5,2018,102,22.9,95,0.4,385,22,0.31,0,0,"Spring","No Holiday",131,431
18,5,2018,1182,17,82,1.9,2000,13.8,0.84,0,0,"Spring","No Holiday",1551,2261
19,5,2018,2479,24.5,34,1.5,2000,7.5,2.54,0,0,"Spring","No Holiday",2355,2439
20,5,2018,2143,22.2,23,2.2,2000,0,1.66,0,0,"Spring","No Holiday",2310,2403
21,5,2018,1820,22.7,42,1.9,2000,9.1,1.13,0,0,"Spring","No Holiday",2214,3069
22,5,2018,86,19.5,80,1.2,553,15.9,0.53,0.4,0,"Spring","Holiday",50,30
23,5,2018,1563,23,33,4.2,1880,5.8,2.57,0,0,"Spring","No Holiday",2069,3123
24,5,2018,1455,23.5,36,4,1763,7.5,2.42,0,0,"Spring","No Holiday",1863,2825
25,5,2018,1533,24.3,27,4.1,1892,4,1.78,0,0,"Spring","No Holiday",2013,2916
26,5,2018,1690,29,31,2.9,889,10.1,2.26,0,0,"Spring","No Holiday",1886,2020
27,5,2018,2242,24,36,1.6,1811,7.9,1.34,0,0,"Spring","No Holiday",2307,2267
28,5,2018,1497,28.1,43,3.4,845,14.3,2.32,0,0,"Spring","No Holiday",2060,3245
29,5,2018,1592,23.6,66,4.2,1208,16.8,0.89,0,0,"Spring","No Holiday",2022,2154
30,5,2018,1571,24.7,47,3,1594,12.6,2.44,0,0,"Spring","No Holiday",2166,3251
31,5,2018,1550,27.3,38,2.9,1784,11.7,2.41,0,0,"Spring","No Holiday",2047,3119
1,6,2018,1488,29.9,34,3.2,1912,12.3,2.46,0,0,"Summer","No Holiday",2123,3088
2,6,2018,1707,29.6,26,3.7,2000,8,2.58,0,0,"Summer","No Holiday",2025,2246
3,6,2018,1834,30.4,28,3.6,1790,9.8,2.48,0,0,"Summer","No Holiday",2131,2349
4,6,2018,1671,25.5,43,3.2,1892,11.9,1.72,0,0,"Summer","No Holiday",2190,3380
5,6,2018,1434,28.8,38,3.1,1027,13,2.14,0,0,"Summer","No Holiday",2115,3227
6,6,2018,1940,27.9,47,2.8,824,15.5,2.36,0,0,"Summer","Holiday",2104,2162
7,6,2018,1442,29.3,41,2,905,14.6,1.95,0,0,"Summer","No Holiday",2002,3221
8,6,2018,1668,26.6,49,3.2,1200,15,2.35,0,0,"Summer","No Holiday",2314,3309
9,6,2018,2297,28.7,40,2.5,1474,13.7,1,0,0,"Summer","No Holiday",2355,1934
10,6,2018,2333,24.8,51,1.6,2000,13.9,1.17,0,0,"Summer","No Holiday",2431,2367
11,6,2018,1220,22,60,1.8,2000,13.8,0.14,0,0,"Summer","No Holiday",1475,1491
12,6,2018,1714,26.2,47,3.8,1996,13.9,2.45,0,0,"Summer","No Holiday",2270,3404
13,6,2018,2474,25.8,50,1.7,1152,14.5,0.66,0,0,"Summer","No Holiday",2664,2479
14,6,2018,1550,25,56,0.7,1723,15.6,1.27,0,0,"Summer","No Holiday",1934,2962
15,6,2018,1726,26.5,45,1.6,2000,13.5,1.91,0,0,"Summer","No Holiday",2460,2891
16,6,2018,1991,28.3,41,2.6,1852,13.7,2.58,0,0,"Summer","No Holiday",2383,2451
17,6,2018,2235,26.6,51,2.2,809,15.6,1.27,0,0,"Summer","No Holiday",2330,2474
18,6,2018,1401,30.5,34,2.9,1830,12.8,2.51,0,0,"Summer","No Holiday",2040,746
19,6,2018,1700,26.1,46,3,1728,13.5,1.55,0,0,"Summer","No Holiday",2328,3556
20,6,2018,1600,28.2,48,3.9,1103,16.1,2.55,0,0,"Summer","No Holiday",2289,3384
21,6,2018,1473,28.5,42,3.1,1622,14.3,2.62,0,0,"Summer","No Holiday",2176,3418
22,6,2018,1466,30.8,31,3.8,1246,11.7,2.17,0,0,"Summer","No Holiday",2146,3365
23,6,2018,1837,28.3,48,3.1,1232,16.2,2.41,0,0,"Summer","No Holiday",2101,2256
24,6,2018,1471,31.3,32,3.2,1427,12.6,2.38,0,0,"Summer","No Holiday",1754,2094
25,6,2018,1407,32.2,39,2.8,928,16.4,1.74,0,0,"Summer","No Holiday",2008,3238
26,6,2018,56,23.3,96,3.4,441,22.6,0.08,1,0,"Summer","No Holiday",113,156
27,6,2018,1618,25,74,2.2,578,20,0.52,0,0,"Summer","No Holiday",2115,3172
28,6,2018,766,25.2,81,3.6,961,21.6,0.5,0,0,"Summer","No Holiday",65,596
29,6,2018,1554,29,57,2.3,987,19.6,2.36,0,0,"Summer","No Holiday",2099,3113
30,6,2018,1317,27.9,69,0.5,880,21.6,0.61,0,0,"Summer","No Holiday",1291,306
1,7,2018,41,22.2,97,1.1,1745,21.6,0.25,1,0,"Summer","No Holiday",25,17
2,7,2018,839,25.2,87,0.9,601,22.8,0.88,0,0,"Summer","No Holiday",861,832
3,7,2018,1325,31.3,52,1.2,2000,20.2,1.63,0,0,"Summer","No Holiday",1783,2965
4,7,2018,1306,31.6,57,2.7,1882,22,2.19,0,0,"Summer","No Holiday",1856,3080
5,7,2018,1105,28.2,71,1.7,2000,22.4,0.96,0,0,"Summer","No Holiday",1381,2594
6,7,2018,1635,26.6,54,2.3,2000,16.5,1.24,0,0,"Summer","No Holiday",2282,3196
7,7,2018,1764,28.9,44,1.6,1998,15.4,2.2,0,0,"Summer","No Holiday",2020,2238
8,7,2018,2070,27.9,39,1.2,2000,12.6,2.16,0,0,"Summer","No Holiday",2266,2351
9,7,2018,68,20.2,91,1.2,1637,18.6,0.42,1,0,"Summer","No Holiday",104,140
10,7,2018,1462,26.3,74,0.7,1580,21.2,0.52,0,0,"Summer","No Holiday",1603,1665
11,7,2018,1344,28.7,70,3.2,1586,22.6,0.73,0,0,"Summer","No Holiday",1923,2931
12,7,2018,1296,28.1,74,2.8,1559,23,1.06,0,0,"Summer","No Holiday",1915,3016
13,7,2018,1291,30,67,2,1698,23.1,1.46,0,0,"Summer","No Holiday",1782,2884
14,7,2018,1177,31.7,55,2.3,1895,21.5,2.16,0,0,"Summer","No Holiday",1433,1624
15,7,2018,1125,32.8,52,3,1803,21.6,2.28,0,0,"Summer","No Holiday",1247,1466
16,7,2018,818,33.3,46,3.1,1914,20.1,2.51,0,0,"Summer","No Holiday",1425,2636
17,7,2018,1062,32,51,2.4,1402,20.5,2.55,0,0,"Summer","No Holiday",1591,2770
18,7,2018,912,33.1,42,2.9,1712,18.4,2.52,0,0,"Summer","No Holiday",1596,2692
19,7,2018,1017,33.7,43,2.7,1890,19.3,2.55,0,0,"Summer","No Holiday",1536,2640
20,7,2018,928,34.3,45,2.3,1466,20.6,2.47,0,0,"Summer","No Holiday",1468,2419
21,7,2018,883,36.8,30,2.8,1756,16.3,2.41,0,0,"Summer","No Holiday",1011,1202
22,7,2018,771,37.8,31,2.5,1929,17.7,2.46,0,0,"Summer","No Holiday",965,1212
23,7,2018,960,34.8,47,2.2,1839,21.8,1.32,0,0,"Summer","No Holiday",1310,2405
24,7,2018,834,34.9,51,2,1221,23.2,0.76,0,0,"Summer","No Holiday",1297,2300
25,7,2018,977,34.1,52,2.5,1304,22.8,2.23,0,0,"Summer","No Holiday",1412,2416
26,7,2018,920,33.5,57,2.8,989,23.8,1.55,0,0,"Summer","No Holiday",1394,2367
27,7,2018,905,35,55,2.8,835,24.6,1.56,0,0,"Summer","No Holiday",1289,2183
28,7,2018,706,28.6,82,3.4,1022,25.2,0.14,0,0,"Summer","No Holiday",863,843
29,7,2018,760,36,33,1.4,2000,17.1,1.97,0,0,"Summer","No Holiday",895,1141
30,7,2018,845,36.4,40,1.1,2000,20.6,1.79,0,0,"Summer","No Holiday",1224,2347
31,7,2018,763,37,38,1.2,2000,20.3,2.07,0,0,"Summer","No Holiday",1184,2092
1,8,2018,561,39.4,39,2.5,1897,22.8,2.42,0,0,"Summer","No Holiday",1033,1929
2,8,2018,676,37.9,39,1.6,1757,21.5,1.76,0,0,"Summer","No Holiday",1066,1881
3,8,2018,763,36.7,44,3.5,1666,22.4,2.16,0,0,"Summer","No Holiday",1105,1920
4,8,2018,700,34.5,49,4,1925,22.2,2.35,0,0,"Summer","No Holiday",901,1044
5,8,2018,818,33.6,57,3.5,1901,23.8,2.19,0,0,"Summer","No Holiday",978,1247
6,8,2018,752,34.6,55,2.5,1650,24.2,2.01,0,0,"Summer","No Holiday",1063,1956
7,8,2018,855,35.4,45,2.6,1529,21.6,1.84,0,0,"Summer","No Holiday",1232,2274
8,8,2018,839,35.1,40,2.6,1989,19.4,2.29,0,0,"Summer","No Holiday",1266,2326
9,8,2018,559,31.6,73,3,1133,26.1,1.57,0,0,"Summer","No Holiday",740,1850
10,8,2018,853,36.4,40,3.2,2000,20.6,2.59,0,0,"Summer","No Holiday",1293,2289
11,8,2018,826,35.6,39,2.7,2000,19.5,1.81,0,0,"Summer","No Holiday",1006,1274
12,8,2018,959,34.1,47,2.5,2000,21.1,0.61,0,0,"Summer","No Holiday",1156,1225
13,8,2018,901,33.5,52,2.2,1804,22.2,0.91,0,0,"Summer","No Holiday",1358,2367
14,8,2018,920,36.3,41,2.4,1957,20.9,1.85,0,0,"Summer","No Holiday",1306,2305
15,8,2018,877,36.6,39,0.7,2000,20.3,0.44,0,0,"Summer","Holiday",960,925
16,8,2018,902,34.5,37,1.9,2000,17.6,2.36,0,0,"Summer","No Holiday",1384,2481
17,8,2018,1112,33.7,26,1.5,2000,11.5,2.39,0,0,"Summer","No Holiday",1666,2797
18,8,2018,1398,31.8,33,2.1,2000,13.5,1.88,0,0,"Summer","No Holiday",1806,1979
19,8,2018,1395,33.3,32,2.4,2000,14.3,1.98,0,0,"Summer","No Holiday",1721,1928
20,8,2018,1253,32.3,45,2.8,1928,18.8,0.98,0,0,"Summer","No Holiday",1704,2628
21,8,2018,1112,30.4,53,2,1990,19.7,1.82,0,0,"Summer","No Holiday",1663,2830
22,8,2018,993,37.4,35,1.3,2000,19.3,2,0,0,"Summer","No Holiday",1495,2528
23,8,2018,944,31.7,56,1.9,2000,21.8,0.92,0,0,"Summer","No Holiday",1249,1447
24,8,2018,455,24.6,85,2.7,1973,21.9,0.55,0,0,"Summer","No Holiday",403,916
25,8,2018,1592,27.2,58,3.7,1987,18.2,0.99,0,0,"Summer","No Holiday",1797,2080
26,8,2018,1025,23.5,56,2.3,2000,14.2,0.5,0.1,0,"Summer","No Holiday",1399,1479
27,8,2018,886,24.7,85,1.2,1143,22,0.99,0,0,"Summer","No Holiday",1356,2153
28,8,2018,60,25,97,0.7,1181,24.4,0.17,2.5,0,"Summer","No Holiday",39,96
29,8,2018,193,27,76,3.8,1875,22.3,0.21,0,0,"Summer","No Holiday",160,57
30,8,2018,1142,27.6,68,2.1,1038,21.1,1.46,0,0,"Summer","No Holiday",1473,1887
31,8,2018,1404,29.7,51,3,2000,18.4,2.27,0,0,"Summer","No Holiday",1869,2836
1,9,2018,1678,30.5,41,1.4,1930,15.7,1.95,0,0,"Autumn","No Holiday",1845,1892
2,9,2018,1853,29.3,44,1.4,1997,15.7,1.32,0,0,"Autumn","No Holiday",2069,2118
3,9,2018,39,25.5,91,1.3,403,23.9,0.23,3.5,0,"Autumn","No Holiday",23,113
